date,room,time,proj_name_th,proj_name_en,proj_major,proj_advisor,proj_co_advisor,teacher_group,teacher1,teacher2,teacher3,teacher4
13,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล
14,ผศ. ดร. ปานวิทย์ ธุวะนุติ
15,ผศ. ดร. ภัทรชัย ลลิตโรจน์วงศ์
16,ผศ. ดร. มานพ พันธ์โคกกรวด
17,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์
18,ผศ. ดร. สุภกิจ นุตยะสกุล
19,ผศ. ดร. สุเมธ ประภาวัต
20,ผศ. ดร. โอฬาร วงศ์วิรัตน์
21,ผศ. อัครินทร์ คุณกิตติ
22,รศ. ดร. จันทร์บูรณ์ สถิตวิริยวงศ์
23,รศ. ดร. โชติพัชร์ ภรณวลัย
24,รศ. ดร. นพพร โชติกกำธร
25,รศ. ดร. พรฤดี เนติโสภากุล
26,รศ. ดร. วรพจน์ กรีสุระเดช
27,รศ. ดร. สุขสันต์ พาณิชพาพิบูล
28,รศ. ดร. อาริต ธรรมโน
29,อาจารย์ศรีนวล นลินทิพยวงศ์
30,อาจารย์สุพัณณดา โชติพันธ์
31,อาจารย์อนันตพัฒน์ อนันตชัย
32,อาจารย์วารุณี บัววิรัตน์
