date,room,time,proj_name_th,proj_name_en,proj_major,proj_advisor,proj_co_advisor,teacher_group,teacher1,teacher2,teacher3,teacher4
15/12/2017,M23,15.30-16.10,ระบบจัดการศูนย์ข้อมูลข่าวสารทางราชการตาม พรบ.ข้อมูลข่าวสาร พ.ศ.2540,Government's Data Center Managing System Followed the information Statue B.E.2540,Multimedia,ผศ.ดร.สุภกิจ นุตยะสกุล,,11,ดร. สามารถ หมุดและ,ผศ. ดร. บุญประเสริฐ สุรักษ์รัตนสกุล,ผศ. ดร. สุภกิจ นุตยะสกุล,อาจารย์อนันตพัฒน์ อนันตชัย
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
15/12/2017,M03,13.30-14.10,ผู้ช่วยส่วนตัวอิจฉริยะในการจัดการกิจกรรมของอาจารย์,Chatbot for Professor Activity Management,Software Development,ดร.บัณฑิต ฐานะโสภณ,รศ.ดร.พรฤดี เนติโสภากุล,12,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. ธนิศา นุ่มนนท์,ผศ. ดร. ปานวิทย์ ธุวะนุติ,อาจารย์สุพัณณดา โชติพันธ์
15/12/2017,M03,14.10-14.50,ระบบบันทึกการเข้าเรียนและการประเมินการสอน,Student Attendance Record and Teaching Evaluation System,Software Development,ผศ.ดร.ธนิศา นุ่มนนท์,อาจารย์ศรีนวล นลินทิพยวงศ์,12,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. ธนิศา นุ่มนนท์,ผศ. ดร. ปานวิทย์ ธุวะนุติ,อาจารย์สุพัณณดา โชติพันธ์
15/12/2017,M03,14.50-15.30,ระบบสั่งอาหารแบบออนไลน์สำหรับร้านอาหาร,Online Food Ordering System for Restanrants,Data Science,ผศ.ดร.ธนิศา นุ่มนนท์,,12,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. ธนิศา นุ่มนนท์,ผศ. ดร. ปานวิทย์ ธุวะนุติ,อาจารย์สุพัณณดา โชติพันธ์
15/12/2017,M03,15.30-16.10,ระบบจัดการค่ายและการจัดการงานต่างๆ,Camp and Event Management System,Data Science,ผศ.ดร.ธนิศา นุ่มนนท์,,12,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. ธนิศา นุ่มนนท์,ผศ. ดร. ปานวิทย์ ธุวะนุติ,อาจารย์สุพัณณดา โชติพันธ์
15/12/2017,M03,16.10-16.50,ออกแบบและพัฒนาระบบประกันการเดินทางโดยเครื่องบินโดยสาร ในรูปแบบของสัญญาอัจฉริยะ โดยใช้เทคโนโลยีบล๊อคเชนส่วนบุคคล,Design and Development Airplane traveling insurance system in the form of Smart Contract by using Private Blockchain,Software Development,ผศ.ดร.ปานวิทย์ ธุวะนุติ,,12,ดร. บัณฑิต ฐานะโสภณ,ผศ. ดร. ธนิศา นุ่มนนท์,ผศ. ดร. ปานวิทย์ ธุวะนุติ,อาจารย์สุพัณณดา โชติพันธ์
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
15/12/2017,M04,13.30-14.10,เว็บแอพพลิเคชั่นสนับสนุนการปรับแต่งสีภาพ,Web application for editing color,Multimedia,ดร.สุภวรรณ ทัศนประเสริฐ,,13,ดร. นล เปรมัษเฐียร,ดร. พรสุรีย์ แจ่มศรี,ดร. สุภวรรณ ทัศนประเสริฐ,อาจารย์ศรีนวล นลินทิพยวงศ์
15/12/2017,M04,14.10-14.50,เกมส์โต้ตอบแบบปฏิสัมพันธ์บนกำแพงด้วยคิเนคต์,Interactive Wall Games Using Kinect,Multimedia,ดร.สุภวรรณ ทัศนประเสริฐ,,13,ดร. นล เปรมัษเฐียร,ดร. พรสุรีย์ แจ่มศรี,ดร. สุภวรรณ ทัศนประเสริฐ,อาจารย์ศรีนวล นลินทิพยวงศ์
